operator,number_route,service,delay_above_min,on_time_percentage,cancellation_rate,can_book_before_month,external_booking,english,cancellation_possible,modify_posible,conpendation _delay,conpensation_submit,catering_offer,electricity_plug,Wifi,average_speed,age_reduction_price,subscription_reduction,handicaped_reduced,family_reduction,night_train,passenger_with_bike
Avanti West Coast,10,All,5,72%,7%,3,Yes,Yes,Yes,Yes,Yes,website,Yes,Yes,Yes,136.1316303,Yes,Yes,Yes,Yes,No,46%
DB,10,Long distance,6,64%,3%,12,Yes,Yes,Yes,No,No,website,Yes,Yes,Yes,136.2104167,Yes,Yes,Yes,No,No,66%
DSB,10,Long distance/regional,3,72%,,6,Yes,Yes,Yes,Yes,No,contact form,Yes,Depends,Yes,107.0336301,Yes,Yes,Yes,No,No,36%
Eurostar,10,All,15,82%,,11,Yes,Yes,Yes,Yes,No,website,Yes,Yes,Yes,146.2509371,Yes,Yes,Yes,No,No,0%
Flixtrain,10,All,15,78%,,6,Yes,Yes,Yes,Yes,No,website,No,Yes,Yes,134.1319968,No,No,No,No,No,26%
GWR,10,All,5,84%,5%,6,Yes,No,Yes,Yes,Yes,website,Yes,Yes,Yes,120.7170976,Yes,Yes,Yes,Yes,Yes,40%
Italo,10,All,5,69%,1%,6,Yes,Yes,Yes,Yes,Yes (voucher),website,Yes,Yes,Yes,146.7195335,Yes,Yes,Yes,Yes,No,0%
NS,10,Intercity,5,88%,7%,3,Yes,Yes,No,No,No,website,No,Depends,Yes,83.46221062,Yes,Yes,No,No,No,60%
OBB,10,Long distance,5,80%,,6,Yes,Yes,Yes,No,No,website,Yes,Yes,Yes,106.0593277,Yes,Yes,Yes,Yes,Yes,52%
Ouigo,10,Ouigo,5,75%,4%,9,Yes,Yes,No,Yes,Yes (voucher),website,Yes,Yes,Yes,201.9174338,Yes,No,No,No,No,0%
Regiojet,7,All,5,89%,,3,Yes,Yes,Yes,Yes,Yes (voucher),cash at counter,Yes,Yes,Yes,95.6383375,Yes,Yes,Yes,No,Yes,34%
Snalltaget,4,All,5,53%,12%,4,Yes,Yes,Yes,Yes,No,website,Yes,Yes,Depends,108.63034,Yes,No,Yes,Yes,Yes,42%
RENFE,10,Ave,5,87%,0%,2,Yes,Yes,Yes,Yes,No,website,Yes,Yes,Yes,192.4795557,Yes,Yes,Yes,Yes,No,0%
SBB,10,Long distance,3,90%,2%,6,Yes,Yes,Yes,Yes,No,website,Yes,Yes,Yes,90.63741047,Yes,Yes,Yes,Yes,Depends,76%
SNCB,10,All,6,88%,1%,1,Yes,Yes,Yes,Yes,No,website,No,Depends,No,76.333593,Yes,Yes,Yes,Yes,No,76%
SNCF,10,INoUI,5,77%,5%,4,Yes,Yes,Yes,Yes,No,website,Yes,Yes,Yes,216.6976973,Yes,Yes,No,Yes,Yes,48%
Trenitalia,10,Medium/long distance,5,89%,,4,Yes,Yes,Yes,Yes,No,website,Yes,Yes,Yes,146.417392,Yes,Yes,Yes,Yes,Yes,50%
ZSSK,9,All,5,79%,1%,2,No,Yes,Yes,No,No,No,Yes,Depends,Yes,89.24399794,Yes,Yes,Yes,No,Yes,38%
BDZ,10,All,,,,2,No,Yes,Yes,No,No,claim,Yes,Yes,Yes,60.98230088,Yes,Yes,Yes,Yes,Yes,18%
CD,10,Long distance,5,68%,2%,2,No,Yes,Yes,Yes,Yes (voucher),contact form,Yes,Yes,Yes,78.88487973,Yes,Yes,Yes,No,Yes,58%
CFR,10,All,,85%,,1,No,Yes,Yes,Yes,No,contact form,Yes,Yes,Yes,64.46582908,Yes,Yes,Yes,No,Yes,16%
CP,10,Long distance,5,53%,2%,2,Yes,Yes,Yes,Yes,No,contact form,Yes,Yes,Yes,100.1253114,Yes,Yes,Yes,Yes,No,44%
MAV,10,All,,,,2,No,Yes,Yes,No,No,website,Yes,No,Yes,72.23238801,Yes,Yes,No,Yes,Yes,68%
Hellenic trains,10,Intercity,5,65%,1%,1,No,Yes,Yes,No,No,website,Yes,No,No,77.69825961,Yes,Yes,Yes,Yes,No,30%
PKP,10,Intercity,6,73%,1%,1,Yes,Yes,Yes,Yes,No,email,Yes,Yes,Yes,96.1716481,Yes,Yes,No,Yes,Yes,36%
SJ,9,Long distance,5,72%,4%,1,Yes,Yes,Yes,Yes,No,email,Yes,Depends,Depends,121.9787257,Yes,Yes,Yes,Yes,Yes,0%
VR,10,Long distance,5,86%,,3,Yes,Yes,Yes,Yes,No,website,Yes,Yes,Yes,112.8474069,Yes,Yes,No,No,Yes,48%
